Company Name,Company URL,About,Summary,Industry,Location
Software,https://www.linkedin.com/company/skills-software/,,Perspectives from experts about the questions that matter in Software,,
Software Testing and QA Company | Testbytes,https://www.linkedin.com/company/softwaretestingcompany/,,"...into precision.  Our mission extends beyond delivering exceptional testing services. We're cultivating a global community of software testers, committed to exchanging knowledge and advancing the art of testing. Through this vibrant network, we aim to foster better software testing practices worldwide, ensuring quality...",IT Services and IT Consulting,"Newyork, NY"
Software Mind Americas,https://www.linkedin.com/company/softwaremind-dc-americas/,,"Software Mind is a global digital transformation partner with operations throughout Europe, the US and LATAM. Driven by tech and empowered by people, we provide companies with software engineers and autonomous, cross-functional development teams who manage software life cycles from ideation to release and beyond...",IT Services and IT Consulting,"Louisville, Kentucky"
Software Mind,https://www.linkedin.com/company/software-mind/,,"Software Mind is a global digital transformation partner with operations throughout Europe, the US and LATAM. Driven by tech and empowered by people, we provide companies with software engineers and autonomous, cross-functional development teams who manage software life cycles from ideation to release and beyond...",IT Services and IT Consulting,"Krakow, Malopolskie"
Software University (SoftUni),https://www.linkedin.com/company/software-university-softuni/,,"Software University (SoftUni) is as an education initiative for high quality software education, the biggest and most well-respected educational institution...","Sofia, BG",
Software Testing Studio | WhatsApp 91-6232667387,https://www.linkedin.com/company/software-testing-studio/,,Looking for Job change? WhatsApp 91-6232667387 • Specialties: Software Testing,"Technology, Information and Internet","Bengaluru, Karnataka"
Software AG,https://www.linkedin.com/company/software-ag/,,A Software GmbH brand,Software Development,"Darmstadt, Hessen"
Software Technology Inc.,https://www.linkedin.com/company/software-technology-inc/,,"Software Technology, Inc. is a full service Information Technology solutions provider specializing in e-business, Business Intelligence and Database Systems, systems integration, custom application design and development and computer programming services. Since its foundation in 2004, Software Technology, Inc...",Information Technology & Services,"Princeton, NJ"
Software People Inc.,https://www.linkedin.com/company/software-people-inc./,,"Software People, Inc. is a total software consulting and services company that combines expertise and advanced technology like nobody else does.  Software People is in the business of helping its customers function more productively and profitably through a full range of specialized staffing and project implementation...",IT Services and IT Consulting,"Smithtown, NY"
"Software Guidance & Assistance, Inc. (SGA, Inc.)",https://www.linkedin.com/company/software-guidance-&-assistance/,,Let's work better together,Staffing and Recruiting,"Tarrytown, New York"
Software Development,https://www.linkedin.com/company/skills-software-development/,,Perspectives from experts about the questions that matter in Software Development,,
Software as a Service (SaaS),https://www.linkedin.com/company/skills-software-as-a-service-saas/,,Perspectives from experts about the questions that matter in Software as a Service (SaaS),,
Software Development Life Cycle (SDLC),https://www.linkedin.com/company/skills-software-development-life-cycle-sdlc/,,Perspectives from experts about the questions that matter in Software Development Life Cycle (SDLC),,
Software Project Management,https://www.linkedin.com/company/skills-software-project-management/,,Perspectives from experts about the questions that matter in Software Project Management,,
Software Installation,https://www.linkedin.com/company/skills-software-installation/,,Perspectives from experts about the questions that matter in Software Installation,,
Software Quality Assurance,https://www.linkedin.com/company/skills-software-quality-assurance/,,Perspectives from experts about the questions that matter in Software Quality Assurance,,
Software Documentation,https://www.linkedin.com/company/skills-software-documentation/,,Perspectives from experts about the questions that matter in Software Documentation,,
Software Implementation,https://www.linkedin.com/company/skills-software-implementation/,,Perspectives from experts about the questions that matter in Software Implementation,,
Software Architecture,https://www.linkedin.com/company/skills-software-architecture/,,Perspectives from experts about the questions that matter in Software Architecture,,
Software Quality,https://www.linkedin.com/company/skills-software-quality/,,Perspectives from experts about the questions that matter in Software Quality,,
Software Testing,https://www.linkedin.com/company/skills-software-testing/,,Perspectives from experts about the questions that matter in Software Testing,,
Software Design,https://www.linkedin.com/company/skills-software-design/,,Perspectives from experts about the questions that matter in Software Design,,
MRI Software,https://www.linkedin.com/company/mri-software-llc/,,"Providing intelligent real estate solutions and industry data that transform the way communities live, work, and play • Specialties: Property Management Software",Software Development,"Solon, OH"
Perforce Software,https://www.linkedin.com/company/perforce/,,Specialties: Software Configuration Management (SCM),Software Development,"Minneapolis, MN"
JDA Software,https://www.linkedin.com/company/jda-software/,,"Blue Yonder (formerly JDA Software, Inc.) provides seamless, friction-free commerce please go to our updated company page as this page will no longer be active forthcoming.   Follow our brand new LinkedIn account to learn where we are headed next: www.linkedin.com/company/BlueYonder",Software Development,"Scottsdale, AZ"
"Pivotal Software, Inc.",https://www.linkedin.com/company/pivotal-software-inc./,,"VMware Tanzu helps you modernize your applications and infrastructure with a common goal: deliver better software to production, continuously. The portfolio simplifies multi-cloud operations, while freeing developers to move faster and access the right resources for building the best applications. VMware Tanzu enables...",Software Development,"San Francisco, California"
Aspect Software,https://www.linkedin.com/company/aspect-software/,,"...and the first Workforce Management Software, Aspect’s legacy is unparalleled.  We are returning to our roots as the pioneer of workforce technology, with a commitment...",Software Development,"Boulder, Colorado"
Alterdata Software,https://www.linkedin.com/company/alterdata-software/,,A Alterdata Software é uma empresa brasileira de desenvolvimento de softwares para automação. Uma empresa #FeitadeGente.,Software Development,"Teresópolis, RJ"
Nucleus Software,https://www.linkedin.com/company/nucleus-software-exports-limited/,,Nucleus Software is the leading provider of lending and transaction banking solutions to the global financial services industry. Its software powers...,Software Development,"Noida, UP"
Cybage Software,https://www.linkedin.com/company/cybage/,,"..., we are a leader in software development, partnering with some of the world's largest independent software vendors (ISVs) and enterprises.  Our team of over 7,500 employees supports more than 250 active clients across diverse sectors, including media, software, travel, retail, healthcare, life sciences, logistics...",IT Services and IT Consulting,"Pune, Maharashtra"
Avionté Staffing Software,https://www.linkedin.com/company/avionte-staffing-software/,,The industry’s most comprehensive end-to-end solution for temporary and permanent staffing. #AvionteBOLD • Specialties: Staffing Software,Staffing and Recruiting,"Bloomington, Minnesota"
Centric Software,https://www.linkedin.com/company/centric-software/,,"From its headquarters in Silicon Valley, Centric Software provides an innovative and AI-enabled product concept-to-commercialization platform for retailers...",Software Development,"Campbell, California"
Lucid Software,https://www.linkedin.com/company/lucidsoftware/,,"Lucid Software is the leader in visual collaboration and work acceleration, helping teams see and build the future by turning ideas into reality. Its products include the Lucid Visual Collaboration Suite (Lucidchart and Lucidspark) and airfocus.   The Lucid Visual Collaboration Suite, combined with powerful...",Software Development,"South Jordan, Utah"
TCP Software,https://www.linkedin.com/company/tcpsoftware/,,Learn how TCP Software can help your team work better.,Software Development,"Plano, Texas"
Dew Software,https://www.linkedin.com/company/dewsoftware/,,"At Dew Software, we are a leading player in the Digital Transformation space, empowering businesses to thrive in the rapidly evolving digital landscape...",Software Development,"Fremont, California"
